#This file is Chinese collocation file
#Lines start with # are comments and will be ignored
#This file is used to extract the check-point of S:Collocation in C2E task
#The format is: [Chiese word 1]~[Pos 1]:Relation:[Pos 2]~[Chinese word 2] [English parts]

哀愁~a:attr:n~阴影	sadness~of~shadow
办公室~v:mods:d~叫到	office~to~call
办公室~v:mods:d~门口	office~v:mods:d~door
办公室~v:mods:d~主任	office~~director
办公桌~v:mods:d~抽屉	desk~locn~drawer
办好~v:obj:n~事	do~v:obj:n~something
办事~a:attr:n~律师	affair~~lawyer
办完~v:obj:n~交易	end~partof~business
办完~v:obj:n~事情	do~v:obj:n~deed
半~a:attr:n~反应	half~~respond
半导体~v:mods:d~工业	semi-conductor~v:mods:d~industry;semiconductor~v:mods:d~technology
半导体~v:mods:d~工艺	semiconductor~v:mods:d~technology
半导体~v:mods:d~激光器	semiconductor~v:mods:d~laser
半导体~v:mods:d~领域	semiconductor~~field
半导体~v:mods:d~芯片	semiconductor~v:mods:d~chip
半导体~v:mods:d~元件	semiconductor~v:mods:d~device
半工半读~a:attr:n~方式	work~~way
半截~a:attr:n~身子	half~lops~body
半径~v:mods:d~位置	radial~a:attr:n~position
半球~v:mods:d~政策	hemisphere~v:mods:d~policy
半数~a:attr:n~后代	half~lops~offspring
半数~a:attr:n~锡	half~lops~tin
半数~a:attr:n~应考者	half~lops~candidate
半死不活~v:mods:d~淹	half~v:mods:d~drown
半小时~v:mods:d~抽	half~~smoke
半小时~v:mods:d~读	half~~read
半小时~v:mods:d~还有	half~~still
半小时~v:mods:d~休息	half~~rest
半小时~v:mods:d~学习	half~~study
半小时~v:mods:d~争斗	half~~battle
伴~v:obj:n~手势	accompany~tsub~gesture
伴~v:obj:n~运动	accompany~tsub~movement
伴随~a:attr:n~构造	associate~a:attr:n~structure
伴随~a:attr:n~染色	accompany~~coloration
伴随~a:attr:n~纵波	accompany~~wave
伴随~v:obj:n~构造	associate~v:obj:n~structure
伴随~v:obj:n~黑夜	accompany~v:obj:n~darkness
伴随~v:obj:n~空间	associate~v:obj:n~subspace
伴随~v:obj:n~器官	accompany~~organ
伴随~v:obj:n~生产率	accompany~~productivity
伴随~v:obj:n~损失	accompany~tsub~loss
伴随~v:obj:n~细胞	accompany~~cell
伴随~v:obj:n~圆环力	accompany~~hoop
伴随~v:obj:n~增加	accompany~tsub~increase
伴随~v:obj:n~纵波	accompany~v:obj:n~wave
伴有~v:obj:n~表面	accompany~~surface
伴有~v:obj:n~心率	accompany~tsub~tachycardia
扮演~v:obj:n~哈姆雷特	play~v:obj:n~hamlet
扮演~v:obj:n~角色	act~v:obj:n~part;act~v:obj:n~role;play~v:obj:n~part;play a role;play the role, act the role;take a role
扮演~v:obj:n~主角	play the main character; act as the hero/heroine;as the main actor/actress;play the hero/heroine;play~v:obj:n~role
扮演起~v:obj:n~王子	act~v:obj:n~prince
拌匀~v:obj:n~咖啡	stir~v:obj:n~coffee
绊倒~v:obj:n~对手	trip~v:obj:n~opponent
绊到~v:obj:n~石头	stumble~v:obj:n~stone
绊到~v:obj:n~树根	stumble~over~root
绊上~v:obj:n~案件	stumble~onto~case
绊住~v:obj:n~脚	catch~v:obj:n~foot
绊住~v:obj:n~脚脖子	catch~~ankle
帮~a:attr:n~领袖	gang~possr~captain
帮~v:obj:n~妈妈	help~~mother
帮~v:obj:n~母亲	help~tind~mother
帮~v:obj:n~您	help~tind~you
帮~v:obj:n~碗碟	help~~dish
帮~v:obj:n~种族主义者	gang~~racist
帮不了~v:obj:n~穷人	help~tind~poor
帮忙~a:attr:n~女孩	help~~girl
帮助~a:attr:n~方法	help~~way
帮助~a:attr:n~工具	aid~~tool
帮助~a:attr:n~机会	help~of~chance
帮助~a:attr:n~能力	help~~able
帮助~a:attr:n~墙	help~a:attr:n~wall
帮助~a:attr:n~人	assist~~people
帮助~a:attr:n~遗孀	assist~~widow
帮助~a:attr:n~政策	help~of~policy
帮助~a:attr:n~主人	help~~master
帮助~a:attr:n~注释	help~props~note
帮助~v:obj:n~办到	help~~do
帮助~v:obj:n~编	assist~in~compile
帮助~v:obj:n~表达	help~v:obj:n~express
帮助~v:obj:n~不幸	help~~unfortunate
帮助~v:obj:n~残废者	help~tind~disabled
帮助~v:obj:n~承担	help~v:obj:n~bear
帮助~v:obj:n~承受	help~v:obj:n~bear
帮助~v:obj:n~出奇制胜	help~~surprise
帮助~v:obj:n~创建	help~v:obj:n~establish
帮助~v:obj:n~打开	help~v:obj:n~roll
帮助~v:obj:n~得到	help~v:obj:n~reach
帮助~v:obj:n~读完	help~~out
帮助~v:obj:n~儿童	help~tind~child
帮助~v:obj:n~儿子	help~tind~son
帮助~v:obj:n~父亲	assist~tind~father
帮助~v:obj:n~付	help~v:obj:n~pay
帮助~v:obj:n~妇人	help~tind~lady
帮助~v:obj:n~改	assist~v:obj:n~correct
帮助~v:obj:n~赶出	help~v:obj:n~drive
帮助~v:obj:n~搞到	help~v:obj:n~get
帮助~v:obj:n~工人们	help~tind~worker
帮助~v:obj:n~工作	assist~~work
帮助~v:obj:n~光线	help~tsub~light
帮助~v:obj:n~过	help~v:obj:n~cross
帮助~v:obj:n~恢复	aid~v:obj:n~recovery;help~v:obj:n~rehabilitate;help to recover/resume; assist to recover
帮助~v:obj:n~获得	help~v:obj:n~get
帮助~v:obj:n~记忆	help~v:obj:n~remember
帮助~v:obj:n~加强	help~v:obj:n~emphasis
帮助~v:obj:n~家庭	help~v:obj:n~family
帮助~v:obj:n~解除	help~v:obj:n~relieve
帮助~v:obj:n~解决	help~crds~try;help~v:obj:n~solve
帮助~v:obj:n~进行	assist in carrying out;assist in undertaking;help to carry out;help to undertake;assist~v:obj:n~process
帮助~v:obj:n~勘探	help~v:obj:n~explore
帮助~v:obj:n~看得清楚	help~v:obj:n~see
帮助~v:obj:n~理解	help to understand/comprehend;be helpful for the comprehension/the understanding;help the comprehension/the understanding;help~v:obj:n~understand
帮助~v:obj:n~了解	assist in understanding;help to understand/know;help~~relief
帮助~v:obj:n~模拟	help~~model
帮助~v:obj:n~募集	help~~enlist
帮助~v:obj:n~农民	aid~v:mods:d~farmer;assist~tind~farmer
帮助~v:obj:n~判断	help~~judge
帮助~v:obj:n~墙	help~tind~wall
帮助~v:obj:n~穷人	help~tind~poor
帮助~v:obj:n~驱散	help~v:obj:n~dispel
帮助~v:obj:n~取得	help~v:obj:n~make
帮助~v:obj:n~人	help~tind~man
帮助~v:obj:n~忍受	help~v:obj:n~endure
帮助~v:obj:n~少年	help~tind~child
帮助~v:obj:n~士兵	help~~soldier
帮助~v:obj:n~视而不见	help~~see
帮助~v:obj:n~收	help~~harvest
帮助~v:obj:n~受难者	assistance~to~sufferer
帮助~v:obj:n~他人	help~~other
帮助~v:obj:n~挽回	assist~v:obj:n~save
帮助~v:obj:n~武装起来	help~v:obj:n~arm
帮助~v:obj:n~项目	help~~project
帮助~v:obj:n~消化	help~v:obj:n~digest
帮助~v:obj:n~小农	help~~small
帮助~v:obj:n~行走	help~v:obj:n~walk
帮助~v:obj:n~形成	help~~shape
帮助~v:obj:n~学生	help~tind~student
帮助~v:obj:n~移动	help~v:obj:n~shift
帮助~v:obj:n~找	help~v:obj:n~find
帮助~v:obj:n~争取	help~~struggle
帮助~v:obj:n~证明	help~v:obj:n~prove
帮助~v:obj:n~指出	aid~means~point
帮助~v:obj:n~做	assist~~make
绑~a:attr:n~手帕	bind~a:attr:n~handkerchief
绑~v:obj:n~胳臂	tie~v:obj:n~arm
绑~v:obj:n~树枝	bind~v:obj:n~stick
傍晚~v:mods:d~时分	night~smods~get
棒~a:attr:n~物质	rod~~material
棒~a:attr:n~一端	rod~~end
棒球~v:mods:d~明星	baseball~v:mods:d~star
棒球~v:mods:d~制服	baseball~v:mods:d~uniform
磅~v:obj:n~咖啡	pound~~coffee
包~v:mods:d~礼品	wrap~~gift
包~v:mods:d~香烟	packet~classifier~cigarette
包~v:obj:n~船桨	muffle~v:obj:n~oar
包~v:obj:n~核	surround~v:obj:n~nucleus
包~v:obj:n~射击	bale~~shoot
包~v:obj:n~显眼	bundle~~show
包~v:obj:n~新生儿	envelop~~new
包~v:obj:n~纸烟	pack~~cigarette
包覆~v:obj:n~火焰	sheathe~v:obj:n~flame
包裹~v:obj:n~悲苦	wrap~v:obj:n~misery
包裹~v:obj:n~上臂	wrap~~arm
包裹~v:obj:n~身体	embrace~~wear
包裹~v:obj:n~婴儿	wrap~v:obj:n~baby
包含~a:attr:n~电容	contain~~capacitor
包含~a:attr:n~过程	consist~a:attr:n~process
包含~a:attr:n~离子	contain~~ion
包含~a:attr:n~领域	encompass~~realm
包含~a:attr:n~质量	contain~~mass
包含~v:obj:n~传统	encompass~~all
包含~v:obj:n~单位	contain~v:obj:n~unit
包含~v:obj:n~分量	contain~v:obj:n~component
包含~v:obj:n~分子	consist~~molecular;contain~v:obj:n~molecule
包含~v:obj:n~交点	include~~point
包含~v:obj:n~开关	contain~v:obj:n~switch
包含~v:obj:n~科目	embrace~v:obj:n~subject
包含~v:obj:n~颗粒	contain~~grain
包含~v:obj:n~离子	contain~v:obj:n~ion
包含~v:obj:n~理论	imply~v:obj:n~theory
包含~v:obj:n~领域	encompass~~realm
包含~v:obj:n~泥炭	contain~v:obj:n~peat
包含~v:obj:n~三条	contain~~three
包含~v:obj:n~水	contain~v:obj:n~water
包含~v:obj:n~水滴	contain~~water
包含~v:obj:n~体系	embrace~~system
包含~v:obj:n~系统	include~tsub~system
包含~v:obj:n~细胞	contain~~cellular
包含~v:obj:n~向量	contain~~vector
包含~v:obj:n~芯片	contain~tsub~chip
包含~v:obj:n~信息	comprise information;contain information;cover information;include information/message;contain~v:obj:n~message
包含~v:obj:n~一个	comprise~~one
包含~v:obj:n~意义	imply~v:obj:n~meaning
包含~v:obj:n~原子	consist~v:obj:n~atom
包含~v:obj:n~真理	embody~v:obj:n~truth
包含~v:obj:n~值	contain~v:obj:n~value
包含~v:obj:n~质量	contain~v:obj:n~mass
包含~v:obj:n~总体	contain~~whole
包含有~v:obj:n~动作	embrace~v:obj:n~action
包含有~v:obj:n~算术	contain~v:obj:n~arithmetic
包含有~v:obj:n~依赖性	include~v:obj:n~dependence
包含有~v:obj:n~因素	contain~v:obj:n~element
包好~v:obj:n~肉	wrap~v:obj:n~meat
包括~a:attr:n~表格	include~~table
包括~a:attr:n~蛋白质	contain~~protein
包括~a:attr:n~方式	include~~mode
包括~a:attr:n~练习曲	include~~exercise
包括~a:attr:n~领域	include~~area
包括~a:attr:n~前体	include~~precursor
包括~a:attr:n~曲线	contain~a:attr:n~curve
包括~a:attr:n~染色体	include~~chromosome
包括~a:attr:n~数目	contain~~number
包括~a:attr:n~特性	include~~characteristic
包括~a:attr:n~委员会	include~~commission
包括~a:attr:n~信号	contain~~signal
包括~a:attr:n~遗传	include~~genetic
包括~v:obj:n~悲伤	include~v:obj:n~grief
包括~v:obj:n~比例尺	include~~scale
包括~v:obj:n~变化	consist~v:obj:n~change
包括~v:obj:n~拨号盘	contain~~dial
包括~v:obj:n~不同	contain~~different
包括~v:obj:n~产物	include~v:obj:n~product
包括~v:obj:n~措施	include~v:obj:n~measure
包括~v:obj:n~打字机	consist~v:obj:n~teletypewriter
包括~v:obj:n~大小	encompass~v:obj:n~magnitude
包括~v:obj:n~当	include~~head
包括~v:obj:n~导管	consist~v:obj:n~conduct
包括~v:obj:n~登记	include~~register
包括~v:obj:n~端点	contain~v:obj:n~point
包括~v:obj:n~发生器	contain~v:obj:n~generator
包括~v:obj:n~反	include~v:obj:n~reaction
包括~v:obj:n~辐射源	consist~~radiation
包括~v:obj:n~富人	include~v:obj:n~riches
包括~v:obj:n~改革	include~~reform
包括~v:obj:n~改性剂	include~v:obj:n~modifier
包括~v:obj:n~购买	include~v:obj:n~buy
包括~v:obj:n~关系	include~v:obj:n~relationship
包括~v:obj:n~观测	include~v:obj:n~survey
包括~v:obj:n~光谱	include~~spectral
包括~v:obj:n~焊接	include~~weld
包括~v:obj:n~滑动	consist~v:obj:n~slippage
包括~v:obj:n~化学变化	include~~chemical
包括~v:obj:n~化学品	include~v:obj:n~chemical
包括~v:obj:n~会计	include~v:obj:n~accounting
包括~v:obj:n~肌群	include~~muscle
包括~v:obj:n~疾病	include~v:obj:n~disease
包括~v:obj:n~几个	include~~several
包括~v:obj:n~角膜炎	consist~v:obj:n~keratitis
包括~v:obj:n~结构	consist~v:obj:n~structure
包括~v:obj:n~决断	include~~decision
包括~v:obj:n~开	include~v:obj:n~switch
包括~v:obj:n~开关	include~v:obj:n~switch
包括~v:obj:n~可能	contain~~possible
包括~v:obj:n~空位	include~v:obj:n~blank
包括~v:obj:n~控制	include~tsub~choke
包括~v:obj:n~控制棒	include~~control
包括~v:obj:n~困难	include~v:obj:n~difficulty
包括~v:obj:n~扩散	include~props~diffuse
包括~v:obj:n~力学	include~~mechanics
包括~v:obj:n~例子	include~v:obj:n~example
包括~v:obj:n~两部分	consist~~two
包括~v:obj:n~两大类	comprise~~two
包括~v:obj:n~滤	include~~filter
包括~v:obj:n~滤器	contain~v:obj:n~filter
包括~v:obj:n~面积	include~v:obj:n~area
包括~v:obj:n~烹调	include~~cook
包括~v:obj:n~平衡	include~v:obj:n~unbalance
包括~v:obj:n~屏	include~~screen
包括~v:obj:n~七章	consist~~seven
包括~v:obj:n~强度	include~v:obj:n~strength
包括~v:obj:n~三层	consist~~three
包括~v:obj:n~生	include~~exogenous
包括~v:obj:n~诗作	comprise~v:obj:n~poetry
包括~v:obj:n~实践	include~~practice
包括~v:obj:n~试验	include~for~test
包括~v:obj:n~受贿	include~v:obj:n~bribery
包括~v:obj:n~输入	comprise~~input
包括~v:obj:n~输送	include~v:obj:n~convey
包括~v:obj:n~数目	contain~~number
包括~v:obj:n~提供	include~props~offer
包括~v:obj:n~烷基	include~~alkyl
包括~v:obj:n~钨丝	consist~~tungsten
包括~v:obj:n~物质	include~~material
包括~v:obj:n~习惯	include~v:obj:n~custom
包括~v:obj:n~系统	include~v:obj:n~system
包括~v:obj:n~细胞	include~v:obj:n~cell
包括~v:obj:n~细节	include~~detail
包括~v:obj:n~纤维	contain~v:obj:n~fiber
包括~v:obj:n~信号	contain~v:obj:n~signal
包括~v:obj:n~星图	contain~~star
包括~v:obj:n~刑罚学	include~v:obj:n~penology
包括~v:obj:n~形式	include~v:obj:n~form
包括~v:obj:n~学院	include~~academic
包括~v:obj:n~一座	include~~one
包括~v:obj:n~以往	include~~previous
包括~v:obj:n~意见	comprise~~view
包括~v:obj:n~运转	comprise~~run
包括~v:obj:n~再生	include~~reproductive
包括~v:obj:n~造物	comprise~props~make
包括~v:obj:n~政府	embrace~~government
包括~v:obj:n~直肠	include~v:obj:n~rectum
包括~v:obj:n~值	contain~v:obj:n~value;include~v:obj:n~value
包括~v:obj:n~职能	include~v:obj:n~function
包括~v:obj:n~指导	include~~instructor
包括~v:obj:n~制图	include~~drawing
包括~v:obj:n~制作	include~v:obj:n~production
包括~v:obj:n~种	contain~v:obj:n~species;include~~species
包括~v:obj:n~种族史	contain~~racial
包括~v:obj:n~主	consist~~main
包括~v:obj:n~主根	consist~v:obj:n~taproot
包括~v:obj:n~专家	include~v:obj:n~expert
包括~v:obj:n~专论	include~v:obj:n~monograph
包括~v:obj:n~转子	contain~~wheel
包括~v:obj:n~子弹	include~v:obj:n~ammunition
包括~v:obj:n~作出	embrace~~make
包括进去~v:obj:n~解释	encompass~~interpretation
包罗万象~a:attr:n~学科	all-embracing~~science
包起来~v:obj:n~包裹	wrap~~package
包起来~v:obj:n~药片	fold~v:obj:n~pill
包起来~v:obj:n~药丸	fold~v:obj:n~pill
包围~a:attr:n~海水	hem~a:attr:n~water
包围~a:attr:n~精神	encompass~~spirit
包围~a:attr:n~人	surround~~crowd
包围~v:obj:n~包囊	surround~v:obj:n~cyst
包围~v:obj:n~玻璃纤维	surround~~glass
包围~v:obj:n~敌人	envelop~v:obj:n~enemy
包围~v:obj:n~地球	encompass~v:obj:n~earth
包围~v:obj:n~富人	surround~~rich
包围~v:obj:n~肌体	surround~~body
包围~v:obj:n~生物体	encase~v:obj:n~organism
包围~v:obj:n~巡逻队	surround~v:obj:n~patrol
包围起来~v:obj:n~气球	besiege~v:obj:n~balloon
包围住~v:obj:n~可怜虫	surround~~poor
包心菜~v:mods:d~幼苗	cabbage~~young
包扎~v:obj:n~弟弟	bind~~brother
包扎~v:obj:n~胳膊	bandage~v:obj:n~arm
包扎~v:obj:n~伤口	bind up the wound/the cut;dress/bandage the wound/cut;bind~v:obj:n~wound;bind~~wind
包扎好~v:obj:n~伤口	tie~~scrape
包住~a:attr:n~头	wrap~~head
包装~v:mods:d~材料	package~~material
包装~v:obj:n~部件	pack~v:obj:n~part
包装~v:obj:n~时钟	pack~v:obj:n~clock
包租~v:obj:n~飞机	charter~v:mods:d~air;charter~v:obj:n~plane
胞质~v:mods:d~连续性	cytoplasm~of~continuity
宝贝~v:mods:d~朋友	precious~a:attr:n~friend
宝贵~a:attr:n~办事	valuable~a:attr:n~service
宝贵~a:attr:n~鲸油	valuable~a:attr:n~oil
宝贵~a:attr:n~空间	valuable~a:attr:n~space
宝贵~a:attr:n~时光	precious~a:attr:n~time
宝贵~a:attr:n~时间	precious~a:attr:n~hour;precious~a:attr:n~time;valuable~a:attr:n~time;the precious time;the valuable time
宝贵~a:attr:n~珍珠	precious~a:attr:n~pearl
宝贵~a:attr:n~走廊	invaluable~a:attr:n~corridor
饱含~v:obj:n~空气	full~of~air
饱和~a:attr:n~反应	supersaturation~~response
饱经沧桑~a:attr:n~过程	vicissitudes~~many
饱经风霜~a:attr:n~汉子	weather-beaten~a:attr:n~man
饱经风霜~a:attr:n~脸颊	weather-beaten~a:attr:n~cheek
饱经风霜~a:attr:n~脸庞	weatherbeaten~v:mods:d~face
饱满~a:attr:n~种子	full~a:attr:n~seed
保~v:obj:n~击败	defender~~defeat
保~v:obj:n~全身	preserve~v:obj:n~body
保~v:obj:n~寿险	insure~v:obj:n~life
保安~a:attr:n~设施	security~v:mods:d~device
保藏~v:obj:n~食物	preserve~v:obj:n~food
保持~a:attr:n~道德	maintain~~ethical
保持~a:attr:n~电源	maintain~~source
保持~a:attr:n~方法	maintain~of~method
保持~a:attr:n~高度	maintain~~high
保持~a:attr:n~光辉	keep~~lustre
保持~a:attr:n~计划	maintain~v:obj:n~design
保持~a:attr:n~目的	keep~of~purpose
保持~a:attr:n~能力	hold~~capacity
保持~a:attr:n~扭转	preserve~~twist
保持~a:attr:n~容	hold~~tolerance
保持~a:attr:n~时期	stay~a:attr:n~period
保持~a:attr:n~市场	keep~~market
保持~a:attr:n~水分	retain~~water
保持~a:attr:n~特性	retain~~character
保持~a:attr:n~血统	keep~~pedigree
保持~a:attr:n~意义	preserve~~sense
保持~a:attr:n~中心	maintain~~centre
保持~a:attr:n~重要性	keep~v:obj:n~importance
保持~a:attr:n~准则	maintain~~standard
保持~a:attr:n~字	maintain~~alphabetical
保持~v:obj:n~安静	keep~lcmp~quiet;keep~v:mods:d~still
保持~v:obj:n~表情	keep~v:obj:n~look
保持~v:obj:n~不规则性	support~v:obj:n~irregularity
保持~v:obj:n~步伐	continue~locn~pace;keep~v:obj:n~step
保持~v:obj:n~材料	preservation~~material
保持~v:obj:n~沉积物	retain~~sediment
保持~v:obj:n~沉默	keep~lcmp~silent;persistent~~silence;preserve~v:obj:n~silence;stand~lcmp~mute;remain silent; stay quiet
保持~v:obj:n~成分	keep~v:obj:n~part
保持~v:obj:n~传统	keep the tradition/convention;maintain the tradition/convention;preserve the tradition/convention;retain the tradition/convention;uphold~v:obj:n~tradition
保持~v:obj:n~低调	keep~~low
保持~v:obj:n~电压	keep~v:obj:n~voltage
保持~v:obj:n~电源	maintain~tsub~source
保持~v:obj:n~封闭	keep~~closed-end
保持~v:obj:n~干燥	keep~lcmp~dry
保持~v:obj:n~高姿态	keep~ptcl~up
保持~v:obj:n~公道	retain~~equitable
保持~v:obj:n~公众	maintain~~public
保持~v:obj:n~关系	hold~v:obj:n~relationship;maintain the relationship; keep relations;keep relatioship;maintain relations;preserve relations;preserve relationship
保持~v:obj:n~呼吸	maintain~v:obj:n~respiration
保持~v:obj:n~婚姻	remain~in~marriage
保持~v:obj:n~混合物	keep~v:obj:n~mixture
保持~v:obj:n~活力	keep the vigor/energy/vim;maintain the vigor/energy/vim;retain the vigor/energy/vim;keep~~energy
保持~v:obj:n~记录	keep~v:obj:n~record
保持~v:obj:n~健康	keep~v:mods:d~well
保持~v:obj:n~交通	keep~~traffic
保持~v:obj:n~接触	keep in touch with;maintain~v:obj:n~contact
保持~v:obj:n~警惕	keep~~awake;stay alert; be on guard/on one's guard;keep alert/guard
保持~v:obj:n~敬仰	keep~v:obj:n~worship
保持~v:obj:n~军队	maintain~~military
保持~v:obj:n~抗原	maintain~~antigen
保持~v:obj:n~控制	keep~tind~control
保持~v:obj:n~冷淡	continue~~cool
保持~v:obj:n~冷静	keep~v:obj:n~calm;keep~v:obj:n~cool;stay calm;maintain calm
保持~v:obj:n~礼貌	maintain~v:obj:n~manner
保持~v:obj:n~联系	keep~v:obj:n~connexion;stay in touch with; be in contact;keep a contact;keep in contact;maintain a contact
保持~v:obj:n~粮食	maintain~~food
保持~v:obj:n~邻接性	preserve~v:obj:n~adjacency
保持~v:obj:n~流体	maintain~~fluid
保持~v:obj:n~路面	keep~v:obj:n~pavement
保持~v:obj:n~民主	hold~ltopic~democracy
保持~v:obj:n~名誉	keep~v:obj:n~reputation
保持~v:obj:n~模具	maintain~~mold
保持~v:obj:n~能力	retention~~capacity
保持~v:obj:n~扭转	preserve~v:obj:n~twist
保持~v:obj:n~平衡	hold~v:obj:n~poise;keep balance;maintain balance;preserve balance
保持~v:obj:n~平静	hold~~still
保持~v:obj:n~平稳	keep calm/stable;maintain calm/stable;keep~~steady
保持~v:obj:n~评价	keep~v:obj:n~opinion
保持~v:obj:n~奇迹	keep~~miraculous
保持~v:obj:n~谦虚谨慎	remain~v:obj:n~modest
保持~v:obj:n~清醒	keep~v:obj:n~awake;keep~~sober;stay clear-headed;keep clear-headed;remain clear-headed
保持~v:obj:n~情趣	maintain~v:obj:n~interest
保持~v:obj:n~渠道	keep~v:obj:n~channel
保持~v:obj:n~荣誉	keep~v:obj:n~honor
保持~v:obj:n~肉体	keep~~physically
保持~v:obj:n~湿度	maintenance~of~humidity
保持~v:obj:n~时期	stay~time~period
保持~v:obj:n~树型	maintenance~~tree
保持~v:obj:n~水	maintain~v:obj:n~standard
保持~v:obj:n~水分	retain~v:obj:n~water
保持~v:obj:n~水平	keep the level;maintian the level;preserve the level;retain the level;maintain~v:obj:n~level;remain~v:obj:n~horizontal
保持~v:obj:n~水土	conserve~v:obj:n~soil
保持~v:obj:n~态度	maintain~v:obj:n~attitude;maintain~v:obj:n~deportment
保持~v:obj:n~体重	maintain~v:obj:n~weight
保持~v:obj:n~通风	ensure~v:obj:n~ventilation
保持~v:obj:n~头衔	maintain~v:obj:n~title
保持~v:obj:n~土质	keep~~land
保持~v:obj:n~完整	maintain~v:obj:n~complete
保持~v:obj:n~完整性	keep/maintain the completeness; keep integrality;maintain the integrality;keep~v:obj:n~integrity;maintain~v:obj:n~integrity
保持~v:obj:n~威严	keep~v:obj:n~dignity
保持~v:obj:n~位移	keep~v:obj:n~shift
保持~v:obj:n~稳定	keep stability;keep stablization;maintain stability;maintain stability;preserve stability;keep~~anchor;remain~~stability
保持~v:obj:n~香味	keep~v:obj:n~flavour;preserve~v:obj:n~flavor
保持~v:obj:n~效应	keep~v:obj:n~effect
